cp_bar,cp_time,cp_type,overlaps_price_cusum
942,2022-06-07 00:00:00+00:00,down,False
1197,2022-07-19 12:00:00+00:00,up,False
1508,2022-09-09 08:00:00+00:00,up,False
1534,2022-09-13 16:00:00+00:00,down,True
1618,2022-09-27 16:00:00+00:00,down,False
1637,2022-09-30 20:00:00+00:00,down,False
1658,2022-10-04 08:00:00+00:00,up,False
1870,2022-11-08 16:00:00+00:00,down,True
2038,2022-12-06 16:00:00+00:00,down,False
2268,2023-01-14 00:00:00+00:00,down,False
2309,2023-01-20 20:00:00+00:00,down,False
2361,2023-01-29 12:00:00+00:00,up,False
2597,2023-03-09 20:00:00+00:00,down,True
2624,2023-03-14 08:00:00+00:00,up,True
2627,2023-03-14 20:00:00+00:00,down,False
2642,2023-03-17 08:00:00+00:00,up,True
2646,2023-03-18 00:00:00+00:00,down,False
2788,2023-04-10 16:00:00+00:00,up,False
2884,2023-04-26 16:00:00+00:00,down,True
3274,2023-06-30 16:00:00+00:00,down,False
3309,2023-07-06 12:00:00+00:00,down,False
3358,2023-07-14 16:00:00+00:00,down,False
3511,2023-08-09 04:00:00+00:00,up,False
3563,2023-08-17 20:00:00+00:00,down,True
3752,2023-09-18 08:00:00+00:00,up,False
3966,2023-10-24 00:00:00+00:00,down,False
4066,2023-11-09 16:00:00+00:00,down,False
5225,2024-05-20 20:00:00+00:00,down,False
6868,2025-02-18 16:00:00+00:00,up,False
6904,2025-02-24 16:00:00+00:00,up,False
6948,2025-03-04 00:00:00+00:00,down,False
7072,2025-03-24 16:00:00+00:00,up,False
7807,2025-07-25 04:00:00+00:00,up,False
7908,2025-08-11 00:00:00+00:00,up,False
8091,2025-09-10 12:00:00+00:00,up,False
8266,2025-10-09 16:00:00+00:00,up,False
8273,2025-10-10 20:00:00+00:00,down,True
8950,2026-01-31 16:00:00+00:00,down,True
8982,2026-02-06 00:00:00+00:00,down,True
9130,2026-03-02 16:00:00+00:00,up,False
9140,2026-03-04 08:00:00+00:00,up,True
9148,2026-03-05 16:00:00+00:00,down,False
9405,2026-04-17 12:00:00+00:00,up,False
9435,2026-04-22 12:00:00+00:00,up,False
9513,2026-05-05 12:00:00+00:00,up,False
