symbol,cp_time,cp_type,entry_time,entry_price,direction,trade_dir,atr_entry,risk_distance,exit_time,exit_price,exit_reason,hold_bars,gross_R,net_R
BTCUSDT,2022-07-19 12:00:00+00:00,up,2022-07-19 16:00:00+00:00,23117.1,1,1,697.4002883277444,1046.1004324916166,2022-07-21 08:00:00+00:00,22574.202482960787,atr_trail_or_sl,10,-0.5189726532720481,-0.5499103519812581
BTCUSDT,2022-10-04 08:00:00+00:00,up,2022-10-04 12:00:00+00:00,19930.0,1,1,300.7874665185086,451.1811997777629,2022-10-05 12:00:00+00:00,19743.358064368527,atr_trail_or_sl,6,-0.41367400885366334,-0.4755161246460404
BTCUSDT,2022-11-08 16:00:00+00:00,down,2022-11-08 20:00:00+00:00,18238.0,1,1,575.5653445487583,863.3480168231374,2022-11-09 08:00:00+00:00,17374.651983176864,atr_trail_or_sl,3,-0.9999999999999987,-1.029574632132652
BTCUSDT,2023-01-29 12:00:00+00:00,up,2023-01-29 16:00:00+00:00,23522.7,1,1,307.39367412680315,461.0905111902047,2023-01-30 08:00:00+00:00,23204.643127425057,atr_trail_or_sl,4,-0.689792708494367,-0.7612142172887982
BTCUSDT,2023-03-09 20:00:00+00:00,down,2023-03-10 00:00:00+00:00,20348.4,1,1,339.40239839592437,509.10359759388655,2023-03-10 04:00:00+00:00,19839.296402406115,atr_trail_or_sl,1,-1.0000000000000002,-1.055956705343742
BTCUSDT,2023-03-14 08:00:00+00:00,up,2023-03-14 12:00:00+00:00,24747.4,1,1,627.4794674480614,941.2192011720922,2023-03-14 16:00:00+00:00,24660.947664852716,atr_trail_or_sl,1,-0.09185143592441271,-0.1286615222006544
BTCUSDT,2023-03-17 08:00:00+00:00,up,2023-03-17 12:00:00+00:00,26914.1,1,1,714.8842256864315,1072.3263385296473,2023-03-18 00:00:00+00:00,27383.9,reversal_invalidation,3,0.43811289820987087,0.4029745838309984
BTCUSDT,2023-04-10 16:00:00+00:00,up,2023-04-10 20:00:00+00:00,29164.9,1,1,302.594877087314,453.892315630971,2023-04-12 12:00:00+00:00,29659.719764123853,atr_trail_or_sl,10,1.0901699523949542,1.0002128004585094
BTCUSDT,2023-04-26 16:00:00+00:00,down,2023-04-26 20:00:00+00:00,27871.9,1,1,590.724087833534,886.086131750301,2023-05-01 00:00:00+00:00,28964.694818860666,atr_trail_or_sl,25,1.2332828375296294,1.189245741583977
BTCUSDT,2023-08-09 04:00:00+00:00,up,2023-08-09 08:00:00+00:00,29807.8,1,1,238.84714211094328,358.2707131664149,2023-08-09 16:00:00+00:00,29516.389196214932,atr_trail_or_sl,2,-0.8133815940732744,-0.9298603305884083
BTCUSDT,2023-08-17 20:00:00+00:00,down,2023-08-18 00:00:00+00:00,26609.7,1,1,463.7098803818183,695.5648205727275,2023-08-18 16:00:00+00:00,25914.135179427274,atr_trail_or_sl,4,-0.9999999999999987,-1.0535587466446685
BTCUSDT,2023-09-18 08:00:00+00:00,up,2023-09-18 12:00:00+00:00,27184.6,1,1,240.00298945625642,360.00448418438464,2023-09-18 16:00:00+00:00,26824.595515815614,atr_trail_or_sl,1,-1.0,-1.1057165720761064
BTCUSDT,2025-03-04 00:00:00+00:00,down,2025-03-04 04:00:00+00:00,83928.9,1,1,2621.6868928472613,3932.530339270892,2025-03-07 00:00:00+00:00,86866.81639068139,atr_trail_or_sl,17,0.7470804131738992,0.7172013150200665
BTCUSDT,2025-03-24 16:00:00+00:00,up,2025-03-24 20:00:00+00:00,88162.3,1,1,909.8259937378638,1364.7389906067956,2025-03-25 00:00:00+00:00,86797.5610093932,atr_trail_or_sl,1,-1.000000000000002,-1.0904401653719324
BTCUSDT,2025-07-25 04:00:00+00:00,up,2025-07-25 08:00:00+00:00,115288.9,1,1,1417.8690114665076,2126.8035171997612,2025-07-28 16:00:00+00:00,117469.36303972555,atr_trail_or_sl,20,1.025230126850854,0.9493394962896858
BTCUSDT,2025-08-11 00:00:00+00:00,up,2025-08-11 04:00:00+00:00,121700.1,1,1,1130.9188910460152,1696.3783365690228,2025-08-11 12:00:00+00:00,120003.72166343099,atr_trail_or_sl,2,-0.999999999999997,-1.1004375830126398
BTCUSDT,2025-09-10 12:00:00+00:00,up,2025-09-10 16:00:00+00:00,113801.3,1,1,1009.3688116051837,1514.0532174077757,2025-09-15 00:00:00+00:00,114883.85746216406,atr_trail_or_sl,26,0.7150062162395532,0.6097775372418781
BTCUSDT,2025-10-09 16:00:00+00:00,up,2025-10-09 20:00:00+00:00,120897.6,1,1,1534.7150867952103,2302.0726301928153,2025-10-10 12:00:00+00:00,118595.52736980718,atr_trail_or_sl,4,-1.000000000000003,-1.0735235881701224
BTCUSDT,2025-10-10 20:00:00+00:00,down,2025-10-11 00:00:00+00:00,112715.0,1,1,2704.5008815134897,4056.7513222702346,2025-10-14 08:00:00+00:00,111204.52114632173,atr_trail_or_sl,20,-0.37233705832207137,-0.4112354248878809
BTCUSDT,2026-01-31 16:00:00+00:00,down,2026-01-31 20:00:00+00:00,77707.9,1,1,1788.9870379150225,2683.4805568725337,2026-02-02 00:00:00+00:00,75191.75134905436,atr_trail_or_sl,7,-0.9376437047407115,-0.9781847325940269
BTCUSDT,2026-02-06 00:00:00+00:00,down,2026-02-06 04:00:00+00:00,64138.1,1,1,2511.1535305012744,3766.7302957519114,2026-02-10 12:00:00+00:00,68043.92621991452,atr_trail_or_sl,26,1.0369274976547902,1.0130889605285012
BTCUSDT,2026-03-02 16:00:00+00:00,up,2026-03-02 20:00:00+00:00,68928.4,1,1,1576.78447438966,2365.17671158449,2026-03-03 08:00:00+00:00,66563.22328841551,atr_trail_or_sl,3,-0.9999999999999979,-1.040800232611519
BTCUSDT,2026-03-04 08:00:00+00:00,up,2026-03-04 12:00:00+00:00,71082.3,1,1,1634.993832127196,2452.490748190794,2026-03-05 16:00:00+00:00,71611.7,reversal_invalidation,7,0.21586218027143766,0.17528497521025138
BTCUSDT,2026-04-17 12:00:00+00:00,up,2026-04-17 16:00:00+00:00,77736.2,1,1,1091.0522158500844,1636.5783237751266,2026-04-18 08:00:00+00:00,76099.62167622487,atr_trail_or_sl,4,-1.0000000000000029,-1.066498913262497
BTCUSDT,2026-04-22 12:00:00+00:00,up,2026-04-22 16:00:00+00:00,79234.3,1,1,1058.78238711724,1588.17358067586,2026-04-23 00:00:00+00:00,77646.12641932414,atr_trail_or_sl,2,-1.0000000000000038,-1.0698462821380015
BTCUSDT,2026-05-05 12:00:00+00:00,up,2026-05-05 16:00:00+00:00,81488.7,1,1,891.1401126266437,1336.7101689399656,2026-05-07 08:00:00+00:00,80554.42474088127,atr_trail_or_sl,10,-0.6989362996016013,-0.7842832825533886
