signal_time,entry_time,exit_time,raw_direction,trade_direction,confirm_n,exit_reason,hold_bars,gross_R,net_R
2022-01-05 12:15:00+00:00,2022-01-05 12:30:00+00:00,2022-01-05 13:30:00+00:00,1,1,5,tp,4,0.9237171104305393,0.6844836079171448
2022-01-07 04:30:00+00:00,2022-01-07 04:45:00+00:00,2022-01-07 05:15:00+00:00,1,1,6,tp,2,0.6535667434012651,0.5530483913533277
2022-01-07 15:45:00+00:00,2022-01-07 16:00:00+00:00,2022-01-07 16:15:00+00:00,1,1,6,tp,1,0.5476313550046753,0.48464515284580434
2022-01-08 13:15:00+00:00,2022-01-08 13:30:00+00:00,2022-01-08 15:00:00+00:00,1,1,4,stop,6,-1.0,-1.1667886982412954
2022-01-13 15:45:00+00:00,2022-01-13 16:00:00+00:00,2022-01-13 17:15:00+00:00,1,1,4,stop,5,-1.0,-1.1627479035201842
2022-01-18 14:30:00+00:00,2022-01-18 14:45:00+00:00,2022-01-18 15:30:00+00:00,1,1,4,tp,3,0.7077130540531031,0.5456701259145686
2022-01-21 22:45:00+00:00,2022-01-21 23:00:00+00:00,2022-01-22 00:00:00+00:00,1,1,4,tp,4,0.8732568065886651,0.8119966769486596
2022-01-25 15:00:00+00:00,2022-01-25 15:15:00+00:00,2022-01-25 16:15:00+00:00,1,1,4,tp,4,0.785081969497645,0.6875033217114267
2022-01-26 19:00:00+00:00,2022-01-26 19:15:00+00:00,2022-01-26 19:45:00+00:00,-1,-1,5,tp,2,0.24650427375745604,0.1992595856140272
2022-01-29 15:45:00+00:00,2022-01-29 16:00:00+00:00,2022-01-29 18:00:00+00:00,1,1,4,time,8,0.16640394415250398,0.006330579800257169
2022-01-30 11:15:00+00:00,2022-01-30 11:30:00+00:00,2022-01-30 12:45:00+00:00,-1,-1,4,tp,5,0.7377054173508873,0.5182013347851566
2022-02-05 09:45:00+00:00,2022-02-05 10:00:00+00:00,2022-02-05 10:45:00+00:00,1,1,5,tp,3,0.10337074524861146,-0.05300394123818157
2022-02-05 14:45:00+00:00,2022-02-05 15:00:00+00:00,2022-02-05 15:15:00+00:00,-1,-1,6,stop,1,-1.0,-1.1738364602884102
2022-02-11 14:45:00+00:00,2022-02-11 15:00:00+00:00,2022-02-11 17:00:00+00:00,-1,-1,5,time,8,-0.2489135718671156,-0.3818889760196321
2022-02-12 11:15:00+00:00,2022-02-12 11:30:00+00:00,2022-02-12 13:30:00+00:00,1,1,5,time,8,-0.12305209813915463,-0.26507732560099173
2022-02-17 04:00:00+00:00,2022-02-17 04:15:00+00:00,2022-02-17 06:15:00+00:00,1,1,5,tp,8,0.8157571407187542,0.5879769609938553
2022-02-17 09:15:00+00:00,2022-02-17 09:30:00+00:00,2022-02-17 11:30:00+00:00,1,1,6,time,8,-0.29258221135650564,-0.4494542715289257
2022-02-18 16:00:00+00:00,2022-02-18 16:15:00+00:00,2022-02-18 16:30:00+00:00,1,1,5,tp,1,0.7256559598359863,0.633007830296525
2022-02-19 12:00:00+00:00,2022-02-19 12:15:00+00:00,2022-02-19 13:00:00+00:00,1,1,4,stop,3,-1.0,-1.217997559261002
2022-02-20 12:15:00+00:00,2022-02-20 12:30:00+00:00,2022-02-20 14:15:00+00:00,-1,-1,6,tp,7,0.6149752170529242,0.45357014003428064
2022-02-21 13:00:00+00:00,2022-02-21 13:15:00+00:00,2022-02-21 14:15:00+00:00,1,1,6,tp,4,0.6429614634393648,0.5428341172549218
2022-02-21 18:45:00+00:00,2022-02-21 19:00:00+00:00,2022-02-21 21:00:00+00:00,-1,-1,6,time,8,-0.5526966990553573,-0.6128774380999591
2022-02-24 03:45:00+00:00,2022-02-24 04:00:00+00:00,2022-02-24 04:15:00+00:00,-1,-1,4,tp,1,0.4314619709340891,0.34161985987928806
2022-02-24 14:30:00+00:00,2022-02-24 14:45:00+00:00,2022-02-24 15:15:00+00:00,-1,-1,5,stop,2,-1.0,-1.0684495469029744
2022-03-04 08:30:00+00:00,2022-03-04 08:45:00+00:00,2022-03-04 09:00:00+00:00,1,1,6,tp,1,0.49358020056388796,0.3995879343319281
2022-03-04 13:30:00+00:00,2022-03-04 13:45:00+00:00,2022-03-04 14:00:00+00:00,-1,-1,4,tp,1,0.45820890437464246,0.329579418425207
2022-03-04 14:15:00+00:00,2022-03-04 14:30:00+00:00,2022-03-04 14:45:00+00:00,1,1,4,stop,1,-1.0,-1.109349643713704
2022-03-04 14:45:00+00:00,2022-03-04 15:00:00+00:00,2022-03-04 15:15:00+00:00,1,1,5,stop,1,-1.0,-1.1041119204371874
2022-03-14 22:45:00+00:00,2022-03-14 23:00:00+00:00,2022-03-15 01:00:00+00:00,-1,-1,6,time,8,0.22204094603193816,0.14599580462370393
2022-03-29 22:30:00+00:00,2022-03-29 22:45:00+00:00,2022-03-29 23:45:00+00:00,1,1,4,tp,4,0.7346619169047404,0.5520048798808592
2022-03-31 16:00:00+00:00,2022-03-31 16:15:00+00:00,2022-03-31 16:30:00+00:00,1,1,4,stop,1,-1.0,-1.131016089535968
2022-03-31 23:45:00+00:00,2022-04-03 00:00:00+00:00,2022-04-03 00:15:00+00:00,1,1,4,tp,1,0.06868605100312011,-0.030489830859285874
2022-04-06 00:15:00+00:00,2022-04-06 00:30:00+00:00,2022-04-06 01:15:00+00:00,1,1,4,tp,3,0.5749409878196157,0.4721262422723663
2022-04-06 18:00:00+00:00,2022-04-06 18:15:00+00:00,2022-04-06 20:15:00+00:00,-1,-1,5,time,8,-0.37369148503321303,-0.4628341817949741
2022-04-17 13:15:00+00:00,2022-04-17 13:30:00+00:00,2022-04-17 13:45:00+00:00,-1,-1,5,stop,1,-1.0,-1.3301872891787698
2022-04-18 13:30:00+00:00,2022-04-18 13:45:00+00:00,2022-04-18 15:15:00+00:00,-1,-1,4,tp,6,0.769561895972767,0.5563326558162929
2022-04-19 11:45:00+00:00,2022-04-19 12:00:00+00:00,2022-04-19 12:30:00+00:00,-1,-1,5,stop,2,-1.0,-1.1400356060462722
2022-04-21 22:30:00+00:00,2022-04-21 22:45:00+00:00,2022-04-22 00:45:00+00:00,1,1,5,time,8,0.10023187641179274,0.02518127823897029
2022-04-24 13:30:00+00:00,2022-04-24 13:45:00+00:00,2022-04-24 14:30:00+00:00,1,1,5,tp,3,0.5062874244869185,0.2842035577981269
2022-04-24 16:45:00+00:00,2022-04-24 17:00:00+00:00,2022-04-24 19:00:00+00:00,1,1,5,tp,8,0.3958887690841168,0.3058972691056924
2022-04-26 07:00:00+00:00,2022-04-26 07:15:00+00:00,2022-04-26 08:15:00+00:00,1,1,5,tp,4,0.36746824970754477,0.1508445729315592
2022-04-26 11:00:00+00:00,2022-04-26 11:15:00+00:00,2022-04-26 12:00:00+00:00,1,1,4,tp,3,0.4097902419799603,0.18330229668674827
2022-04-26 19:30:00+00:00,2022-04-26 19:45:00+00:00,2022-04-26 20:00:00+00:00,1,1,4,stop,1,-1.0,-1.100181961170007
2022-04-27 08:45:00+00:00,2022-04-27 09:00:00+00:00,2022-04-27 11:00:00+00:00,1,1,4,time,8,-0.17814801062164431,-0.33770637871883036
2022-05-02 13:30:00+00:00,2022-05-02 13:45:00+00:00,2022-05-02 15:45:00+00:00,1,1,6,time,8,-0.28431971371490666,-0.3595539980149809
2022-05-03 13:45:00+00:00,2022-05-03 14:00:00+00:00,2022-05-03 16:00:00+00:00,1,1,4,time,8,-0.5616843079416641,-0.7687209896459984
2022-05-04 18:15:00+00:00,2022-05-04 18:30:00+00:00,2022-05-04 18:45:00+00:00,1,1,6,tp,1,0.8865532202938515,0.7285209252693303
2022-05-04 18:30:00+00:00,2022-05-04 18:45:00+00:00,2022-05-04 19:00:00+00:00,1,1,4,tp,1,0.6680693291445859,0.5572903513877412
2022-05-09 17:00:00+00:00,2022-05-09 17:15:00+00:00,2022-05-09 18:15:00+00:00,1,1,4,stop,4,-1.0,-1.068143564458185
