symbol,signal_time,entry_time,entry_price,direction,trade_dir,atr_entry,risk_distance,exit_time,exit_price,exit_reason,hold_bars,gross_R,net_R
BTCUSDT,2022-01-04 00:00:00+00:00,2022-01-04 04:00:00+00:00,46313.95,-1,-1,713.7649532608899,1142.023925217424,2022-01-04 08:00:00+00:00,46521.69,regime_invalidation,1,-0.1819051207359379,-0.23868110289205213
BTCUSDT,2022-01-31 20:00:00+00:00,2022-02-01 00:00:00+00:00,38439.04,1,1,792.7350009977495,1268.3760015963992,2022-02-01 08:00:00+00:00,38420.65,regime_invalidation,2,-0.014498855210799839,-0.05692685442575501
BTCUSDT,2022-02-03 04:00:00+00:00,2022-02-03 08:00:00+00:00,36995.5,-1,-1,703.3301378760531,1125.328220601685,2022-02-03 12:00:00+00:00,36754.99,regime_invalidation,1,0.2137243122467926,0.16769889579335362
BTCUSDT,2022-02-04 16:00:00+00:00,2022-02-04 20:00:00+00:00,40703.33,1,1,894.2593084408182,1430.8148935053093,2022-02-05 00:00:00+00:00,41550.0,regime_invalidation,1,0.591739716886625,0.5519129983791071
BTCUSDT,2022-02-18 00:00:00+00:00,2022-02-18 04:00:00+00:00,40677.0,-1,-1,862.1728913725983,1379.4766261961574,2022-02-18 08:00:00+00:00,40637.1,regime_invalidation,1,0.02892401309475163,-0.0123581651738508
BTCUSDT,2022-02-28 20:00:00+00:00,2022-03-01 00:00:00+00:00,43155.0,1,1,1312.1407900987422,2099.4252641579874,2022-03-01 04:00:00+00:00,43140.9,regime_invalidation,1,-0.006716123808128796,-0.03549399984470747
BTCUSDT,2022-03-05 12:00:00+00:00,2022-03-05 16:00:00+00:00,39133.8,-1,-1,955.0101680581279,1528.0162688930047,2022-03-05 20:00:00+00:00,39416.7,regime_invalidation,1,-0.18514200781706697,-0.22099720197654507
BTCUSDT,2022-03-09 16:00:00+00:00,2022-03-09 20:00:00+00:00,42200.2,1,1,1027.8251406821607,1644.5202250914572,2022-03-10 00:00:00+00:00,41939.5,regime_invalidation,1,-0.1585264784356779,-0.19445202018249003
BTCUSDT,2022-03-10 12:00:00+00:00,2022-03-10 16:00:00+00:00,39154.3,-1,-1,1130.7967882788826,1809.2748612462121,2022-03-10 20:00:00+00:00,39405.6,regime_invalidation,1,-0.13889542456081133,-0.16919265643758832
BTCUSDT,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,40868.4,1,1,1031.5797852018022,1650.5276563228836,2022-03-17 00:00:00+00:00,41105.9,regime_invalidation,1,0.14389337802985544,0.10922824547008499
