symbol,signal_time,entry_time,entry_price,direction,trade_dir,atr_entry,risk_distance,exit_time,exit_price,exit_reason,hold_bars,gross_R,net_R
BTCUSDT,2022-01-13 12:00:00+00:00,2022-01-13 16:00:00+00:00,43170.0,-1,-1,849.0525518291716,1358.4840829266748,2022-01-13 20:00:00+00:00,42690.01,regime_invalidation,1,0.35332765840430225,0.3088383627551443
BTCUSDT,2022-01-21 12:00:00+00:00,2022-01-21 16:00:00+00:00,38831.88,-1,-1,956.6111875112981,1530.5779000180771,2022-01-21 20:00:00+00:00,37967.04,regime_invalidation,1,0.5650414787707193,0.529522455531616
BTCUSDT,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,36426.46,-1,-1,1127.8637280071907,1804.5819648115053,2022-01-22 04:00:00+00:00,36319.99,regime_invalidation,1,0.05899981384947639,0.030740058961963253
BTCUSDT,2022-01-24 08:00:00+00:00,2022-01-24 12:00:00+00:00,33690.0,-1,-1,1217.9487689383154,1948.7180303013047,2022-01-24 16:00:00+00:00,34218.81,regime_invalidation,1,-0.2713630149551368,-0.2955666192050074
BTCUSDT,2022-01-29 12:00:00+00:00,2022-01-29 16:00:00+00:00,37543.79,-1,-1,902.686226999315,1444.297963198904,2022-01-30 08:00:00+00:00,38228.0,regime_invalidation,4,-0.47373188734863014,-0.5101241743553808
BTCUSDT,2022-02-03 08:00:00+00:00,2022-02-03 12:00:00+00:00,36754.99,-1,-1,712.7086994563349,1140.3339191301359,2022-02-03 16:00:00+00:00,36876.56,regime_invalidation,1,-0.10660912383693293,-0.15173361337176336
BTCUSDT,2022-02-08 04:00:00+00:00,2022-02-08 08:00:00+00:00,44842.27,1,1,861.0465590668028,1377.6744945068847,2022-02-08 12:00:00+00:00,43978.64,regime_invalidation,1,-0.6268752186699363,-0.6724441671046468
BTCUSDT,2022-02-10 12:00:00+00:00,2022-02-10 16:00:00+00:00,44936.81,1,1,1037.6921065432825,1660.3073704692522,2022-02-10 20:00:00+00:00,44355.72,regime_invalidation,1,-0.3499894118013601,-0.38788091015820914
BTCUSDT,2022-02-15 08:00:00+00:00,2022-02-15 12:00:00+00:00,44214.3,1,1,804.2165787313816,1286.7465259702105,2022-02-15 16:00:00+00:00,44190.3,regime_invalidation,1,-0.018651692089787404,-0.06675753014777416
BTCUSDT,2022-02-18 08:00:00+00:00,2022-02-18 12:00:00+00:00,40167.2,-1,-1,824.5500951120875,1319.2801521793401,2022-02-18 16:00:00+00:00,39805.2,regime_invalidation,1,0.27439206100539476,0.23176724025969794
BTCUSDT,2022-02-19 08:00:00+00:00,2022-02-19 12:00:00+00:00,39822.8,-1,-1,769.1170420246183,1230.5872672393893,2022-02-19 16:00:00+00:00,39950.1,regime_invalidation,1,-0.10344654409237572,-0.148751677246459
